State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Karnataka,Davangere,"Davangere APMC",Rice,Medium,Local,06/01/2026,2300,2890,2620
Karnataka,Davangere,"Davangere APMC",Maize,Local,Local,06/01/2026,1819,1956,1915
Karnataka,Davangere,"Davangere APMC",Cauliflower,Cauliflower,Local,06/01/2026,1800,2800,2300
Karnataka,Davangere,"Davangere APMC",Tomato,Tomato,Local,06/01/2026,1600,3000,2300
Karnataka,Davangere,"Davangere APMC","Sweet Potato","Sweet Potato",Local,06/01/2026,1700,2600,2200
Karnataka,Davangere,"Davangere APMC",Cabbage,Cabbage,Local,06/01/2026,800,1600,1300
Karnataka,Davangere,"Davangere APMC",Cucumbar(Kheera),Cucumbar,Local,06/01/2026,1000,2300,2200
Karnataka,Davangere,"Davangere APMC",Raddish,Raddish,Local,06/01/2026,1700,2800,2300
Karnataka,Davangere,"Davangere APMC",Seemebadnekai,Seemebadanekai,Local,06/01/2026,2000,3000,2600
Karnataka,Davangere,"Davangere APMC","Arhar(Tur/Red Gram)(Whole)","Arhar (Whole)",Local,06/01/2026,5859,5868,5862
Karnataka,Davangere,"Davangere APMC","Alasande Gram","Alasande Gram",Local,06/01/2026,7200,7200,7200
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Wheat,Jawari,Local,06/01/2026,2019,3200,3200
Karnataka,Dharwad,"Hubli (Amaragol) APMC","Black Gram(Urd Beans)(Whole)","Black Gram (Whole)",Local,06/01/2026,3026,6326,5266
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Onion,Puna,Local,06/01/2026,500,2600,1600
Karnataka,Haveri,"Ranebennur APMC","Ladies Finger","Ladies Finger",Medium,06/01/2026,1200,3200,2800
Karnataka,Haveri,"Ranebennur APMC","Green Avare(W)","Green Avare (W)",Medium,06/01/2026,2500,3500,2600
Karnataka,Mysore,"K.R.Nagar APMC","Tender Coconut","Tender Coconut",Small,06/01/2026,1900,2200,2000
Karnataka,Raichur,"Sindhanur APMC","Arhar(Tur/Red Gram)(Whole)","Arhar (Whole)",Local,06/01/2026,6750,7080,7050
Karnataka,Davangere,"Harappana Halli APMC",Jowar(Sorghum),"Jowar Hybrid",FAQ,06/01/2026,1960,1960,1960
Karnataka,Davangere,"Harappana Halli APMC","Ragi(Finger Millet)",Local,Local,06/01/2026,3700,3700,3700
Karnataka,Davangere,"Honnali APMC",Arecanut(Betelnut/Supari),Sippegotu,Local,06/01/2026,10000,10300,10067
Karnataka,Davangere,"Honnali APMC",Cabbage,Cabbage,Local,06/01/2026,800,1600,1240
Karnataka,Davangere,"Honnali APMC",Beetroot,Beetroot,Local,06/01/2026,1200,1600,1520
Karnataka,Bangalore,"Doddaballa Pur APMC",Cucumbar(Kheera),Cucumbar,Medium,06/01/2026,1000,1500,1300
Karnataka,Mysore,"Hunsur APMC",Rice,"Broken Rice",Local,06/01/2026,2200,2200,2200
Karnataka,Kolar,"Bhagepalli APMC",Tomato,Tomato,Small,06/01/2026,1000,4769,4307
Karnataka,Belgaum,"Kudchi APMC",Jaggery,Nizamabad,Local,06/01/2026,3950,4100,4000
Karnataka,Bagalkot,"Bagalakot APMC","Arhar(Tur/Red Gram)(Whole)","Arhar (Whole)",Local,06/01/2026,2703,7115,6535
Karnataka,Kalburgi,"Kalburgi APMC",Rice,Coarse,Local,06/01/2026,3150,4250,3650
Karnataka,Kalburgi,"Kalburgi APMC",Potato,Potato,Local,06/01/2026,1000,1400,1200
Karnataka,Kalburgi,"Kalburgi APMC",Tomato,Tomato,Local,06/01/2026,500,1000,750
Karnataka,Kalburgi,"Kalburgi APMC",Beans,"Beans (Whole)",Local,06/01/2026,3000,4000,3500
Karnataka,Bellary,"Kottur APMC",Jowar(Sorghum),"Jowar Hybrid",Local,06/01/2026,2185,2713,2227
Karnataka,Bellary,"Kottur APMC","Bajra(Pearl Millet/Cumbu)",Hybrid,Local,06/01/2026,1840,2230,1905
Karnataka,Bellary,"Kottur APMC","Ragi(Finger Millet)",Hybrid,Local,06/01/2026,3556,3913,3785
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Raddish,Raddish,Local,06/01/2026,2000,2500,2300
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Brinjal,Other,Local,06/01/2026,1500,2000,1750
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Cabbage,Cabbage,Local,06/01/2026,1500,2000,1750
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Cucumbar(Kheera),Cucumbar,Local,06/01/2026,800,1000,900
Karnataka,Chikmagalur,"Chikkamagalore APMC",Onion,Other,Local,06/01/2026,2565,2565,2565
Karnataka,Chikmagalur,"Chikkamagalore APMC",Beans,"Beans (Whole)",Local,06/01/2026,2565,2565,2565
Karnataka,Chitradurga,"Chitradurga APMC",Cotton,"Varalakshmi  (Ginned)",Local,06/01/2026,1569,9496,6281
Karnataka,Davangere,"Channagiri APMC",Arecanut(Betelnut/Supari),Rashi,"Grade Range-1",06/01/2026,56599,59209,58535
Karnataka,Hassan,"Arasikere APMC",Tomato,Tomato,Medium,06/01/2026,4000,4233,4233
Karnataka,Kolar,"Bangarpet APMC",Tomato,Tomato,Local,06/01/2026,700,2000,1500
Karnataka,Kolar,"Bangarpet APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,06/01/2026,700,1500,1000
Karnataka,Kolar,"Bangarpet APMC",Capsicum,Capsicum,Local,06/01/2026,1000,2000,1500
Karnataka,Bangalore,"Ramanagara APMC","Bottle gourd","Bottle Gourd",Local,06/01/2026,800,1200,1000
Karnataka,Bangalore,"Ramanagara APMC","Green Chilli","Green Chilly",Local,06/01/2026,2400,4400,4000
Karnataka,Bangalore,"Ramanagara APMC","Ladies Finger","Ladies Finger",Local,06/01/2026,2400,3200,3000
Karnataka,Bangalore,"Ramanagara APMC",Drumstick,Drumstick,Local,06/01/2026,25000,27200,26500
Karnataka,Bangalore,"Ramanagara APMC","Knool Khol","Knool Khol",Local,06/01/2026,800,1200,1000
Karnataka,Shimoga,"Bhadravathi APMC",Maize,Local,Local,06/01/2026,1900,1950,1950
Karnataka,Tumkur,"Tumkur APMC",Paddy(Common),Sona,Local,06/01/2026,2100,2850,2380
Karnataka,Tumkur,"Tumkur APMC","Tamarind Fruit","Tamarind Fruit",Local,06/01/2026,8500,16800,10200
Karnataka,Bangalore,"Bangalore APMC",Onion,Puna,Local,06/01/2026,1000,2700,1400
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Banana,"Nendra Bale",Local,06/01/2026,1000,2600,1800
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Grapes,Black,Local,06/01/2026,2000,4000,3000
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Chikoos(Sapota),Sapota,Local,06/01/2026,2000,4000,3000
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Cabbage,Cabbage,Local,06/01/2026,1000,1200,1100
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,06/01/2026,2500,3000,2800
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Green Avare(W)","Green Avare (W)",Local,06/01/2026,2500,2800,2700
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Sweet Pumpkin","Sweet Pumpkin",Local,06/01/2026,800,1000,900
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Suvarna Gadde",Suvarnagadde,Local,06/01/2026,3800,4000,3900
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Bunch Beans","Bunch Beans",Local,06/01/2026,3600,4200,4000
Karnataka,Bijapur,"Bijapur APMC","Dry Grapes","Dry Grapes",Local,06/01/2026,25000,25000,25000
Karnataka,Davangere,"Davangere APMC",Paddy(Common),"Paddy Medium",Local,06/01/2026,2539,2589,2572
Karnataka,Davangere,"Davangere APMC",Sunflower,Local,Local,06/01/2026,5609,5609,5609
Karnataka,Davangere,"Davangere APMC",Pineapple,"Pine Apple",Local,06/01/2026,2000,3000,2500
Karnataka,Davangere,"Davangere APMC",Chikoos(Sapota),Sapota,Local,06/01/2026,2500,3500,3000
Karnataka,Davangere,"Davangere APMC",Papaya,Papaya,Local,06/01/2026,500,1000,800
Karnataka,Davangere,"Davangere APMC","Water Melon","Water Melon",Local,06/01/2026,2000,3000,2500
Karnataka,Davangere,"Davangere APMC","Green Avare(W)","Green Avare (W)",Local,06/01/2026,1800,2800,2300
Karnataka,Davangere,"Davangere APMC","Suvarna Gadde",Suvarnagadde,Local,06/01/2026,2000,3000,2400
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Jowar(Sorghum),"Jowar Hybrid",Local,06/01/2026,1709,3050,2600
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Groundnut,Gejje,Local,06/01/2026,3509,7480,5521
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Soyabean,Soyabeen,Local,06/01/2026,1212,5019,4630
Karnataka,Dharwad,"Hubli (Amaragol) APMC","Arhar Dal(Tur Dal)","Arhar Dal(Tur)",Local,06/01/2026,10500,10500,10500
Karnataka,Raichur,"Raichur APMC",Cowpea(Lobia/Karamani),"Cowpea (Whole)",Local,06/01/2026,6606,6720,6720
Karnataka,Raichur,"Raichur APMC","Arhar(Tur/Red Gram)(Whole)",Red,Local,06/01/2026,6169,7730,7490
Karnataka,Raichur,"Sindhanur APMC",Rice,Medium,Local,06/01/2026,4080,4400,4080
Karnataka,Raichur,"Sindhanur APMC",Maize,Local,Local,06/01/2026,1880,1900,1900
Karnataka,Davangere,"Honnali APMC","Green Chilli","Green Chilly",Local,06/01/2026,2800,3200,3110
Karnataka,Davangere,"Honnali APMC","Knool Khol","Knool Khol",Local,06/01/2026,2200,2800,2650
Karnataka,Bangalore,"Doddaballa Pur APMC",Onion,Onion,Medium,06/01/2026,2000,2600,2300
Karnataka,Bangalore,"Doddaballa Pur APMC",Potato,Local,Medium,06/01/2026,1800,2000,1900
Karnataka,Bangalore,"Doddaballa Pur APMC",Cauliflower,Cauliflower,Medium,06/01/2026,1000,1500,1200
Karnataka,Bangalore,"Doddaballa Pur APMC",Brinjal,Brinjal,Medium,06/01/2026,1200,2000,1600
Karnataka,Bangalore,"Doddaballa Pur APMC","Green Chilli","Green Chilly",Medium,06/01/2026,4000,5000,4600
Karnataka,Bangalore,"Doddaballa Pur APMC",Ginger(Green),"Green Ginger",Medium,06/01/2026,4000,5500,4800
Karnataka,Bangalore,"Doddaballa Pur APMC","Ladies Finger","Ladies Finger",Medium,06/01/2026,2000,2500,2200
Karnataka,Bangalore,"Doddaballa Pur APMC","Chapparad Avare","Chapparada Avarekai",Medium,06/01/2026,2500,3500,3000
Karnataka,Mysore,"Hunsur APMC",Maize,Local,Local,06/01/2026,1650,1650,1650
Karnataka,Chamrajnagar,"Gundlupet APMC",Beans,"Beans (Whole)",Local,06/01/2026,1100,1100,1100
Karnataka,Dharwad,"Kalagategi APMC",Maize,Local,Local,06/01/2026,1710,1910,1867
Karnataka,Kolar,"Bhagepalli APMC",Capsicum,Capsicum,Small,06/01/2026,2000,3000,2600
Karnataka,Bagalkot,"Bagalakot APMC",Maize,Hybrid/Local,Local,06/01/2026,1750,1945,1900
Karnataka,Belgaum,"Bailahongal APMC",Soyabean,Soyabeen,Local,06/01/2026,4180,4880,4498
Karnataka,Belgaum,"Sankeshwar APMC",Soyabean,Soyabeen,Local,06/01/2026,4500,4700,4600
Karnataka,Belgaum,"Sankeshwar APMC",Cotton,Other,Local,06/01/2026,8000,9000,8500
Karnataka,Bellary,"Kottur APMC",Groundnut,Natte,Local,06/01/2026,3889,8780,7728
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC","Knool Khol","Knool Khol",Local,06/01/2026,1000,1800,1400
Karnataka,Chikmagalur,"Chikkamagalore APMC",Potato,Other,Local,06/01/2026,1852,1852,1852
Karnataka,Chikmagalur,"Chikkamagalore APMC",Cauliflower,Local,Local,06/01/2026,1667,1667,1667
Karnataka,Chikmagalur,"Chikkamagalore APMC","Green Chilli","Green Chilly",Local,06/01/2026,3174,3174,3174
Karnataka,Kolar,"Bangarpet APMC",Rice,"Broken Rice",Local,06/01/2026,1000,2500,2153
Karnataka,Kolar,"Bangarpet APMC",Garlic,Garlic,Local,06/01/2026,7000,8000,7500
Karnataka,Kolar,"Bangarpet APMC","Green Chilli","Green Chilly",Local,06/01/2026,2100,2500,2300
Karnataka,Kolar,"Bangarpet APMC",Ginger(Green),"Green Ginger",Local,06/01/2026,1500,2700,2500
Karnataka,Kolar,"Bangarpet APMC",Carrot,Carrot,Local,06/01/2026,3000,3700,3500
Karnataka,Kolar,"Bangarpet APMC","Ladies Finger","Ladies Finger",Local,06/01/2026,500,1000,700
Karnataka,Kolar,"Bangarpet APMC",Cucumbar(Kheera),Cucumbar,Local,06/01/2026,800,1500,1000
Karnataka,Bangalore,"Ramanagara APMC",Brinjal,Brinjal,Local,06/01/2026,1200,2400,2000
Karnataka,Bangalore,"Ramanagara APMC",Tomato,Tomato,Local,06/01/2026,2500,3500,3000
Karnataka,Bangalore,"Ramanagara APMC",Beans,"Beans (Whole)",Local,06/01/2026,2000,3200,2400
Karnataka,Bangalore,"Ramanagara APMC",Snakeguard,Snakeguard,Local,06/01/2026,600,1000,800
Karnataka,Shimoga,"Bhadravathi APMC",Paddy(Common),"Paddy Medium",Local,06/01/2026,2400,2792,2500
Karnataka,Shimoga,"Bhadravathi APMC",Arecanut(Betelnut/Supari),Other,Local,06/01/2026,39660,45261,42410
Karnataka,Shimoga,"Bhadravathi APMC",Jaggery,Unde,Local,06/01/2026,4000,4000,4000
Karnataka,Tumkur,"Tumkur APMC","Ragi(Finger Millet)",Local,Local,06/01/2026,2600,4400,3400
Karnataka,Tumkur,"Tumkur APMC",Coconut,Coconut,Local,06/01/2026,20000,40000,28000
Karnataka,Tumkur,"Tumkur APMC",Arecanut(Betelnut/Supari),Rashi,Local,06/01/2026,53600,55000,54000
Karnataka,Tumkur,"Tumkur APMC",Soapnut(Antawala/Retha),Medium,Local,06/01/2026,5100,10600,7100
Karnataka,"Karwar(Uttar Kannad)","Haliyala APMC",Maize,Hybrid/Local,Local,06/01/2026,1800,1950,1875
Karnataka,Chitradurga,"Holalkere APMC",Jaggery,Unde,Local,06/01/2026,4000,4000,4000
Karnataka,"Mangalore(Dakshin Kannad)","Sulya APMC",Arecanut(Betelnut/Supari),Cqca,Local,06/01/2026,18000,30000,24000
Karnataka,Madikeri(Kodagu),"Somvarpet APMC",Paddy(Common),"Paddy Dappa","Grade Range-1",06/01/2026,2300,2300,2300
Karnataka,Bangalore,"Bangalore APMC",Potato,Local,Medium,06/01/2026,1800,2800,2200
Karnataka,Bangalore,"Bangalore APMC",Potato,Potato,Medium,06/01/2026,800,2200,1800
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Apple,Apple,Large,06/01/2026,8000,16000,14000
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Banana,"Nauti Bale",Local,06/01/2026,700,2500,1600
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Mousambi(Sweet Lime)",Mousambi,Large,06/01/2026,2800,3800,3400
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Tomato,Tomato,Local,06/01/2026,4000,5000,4700
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Banana - Green","Banana - Green",Local,06/01/2026,2000,2400,2200
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Ginger(Green),"Green Ginger",Local,06/01/2026,4000,4400,4300
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Ladies Finger","Ladies Finger",Local,06/01/2026,3000,3500,3300
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Snakeguard,Snakeguard,Local,06/01/2026,1500,1800,1700
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Thondekai,Thondekai,Local,06/01/2026,3000,3600,3400
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Drumstick,Drumstick,Local,06/01/2026,21000,23000,22000
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Peas Wet","Peas Wet",Local,06/01/2026,2500,3000,2700
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Knool Khol","Knool Khol",Local,06/01/2026,1100,1300,1200
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Pomegranate,Pomogranate,Large,06/01/2026,10000,16000,12000
Karnataka,Bijapur,"Bijapur APMC",Maize,Hybrid/Local,Local,06/01/2026,1800,1925,1880
Karnataka,Davangere,"Davangere APMC",Apple,Apple,Local,06/01/2026,6000,10000,8000
Karnataka,Davangere,"Davangere APMC","Green Chilli","Green Chilly",Local,06/01/2026,2000,3200,2600
Karnataka,Davangere,"Davangere APMC",Carrot,Carrot,Local,06/01/2026,1800,3200,2500
Karnataka,Davangere,"Davangere APMC","Ladies Finger","Ladies Finger",Local,06/01/2026,1000,2100,1600
Karnataka,Davangere,"Davangere APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,06/01/2026,1800,3400,2600
Karnataka,Davangere,"Davangere APMC",Capsicum,Capsicum,Local,06/01/2026,2500,4200,3400
Karnataka,Davangere,"Davangere APMC",Lime,Lime,Local,06/01/2026,1000,1300,1200
Karnataka,Davangere,"Davangere APMC","Karbuja(Musk Melon)",Karbhuja,Local,06/01/2026,2000,3000,2500
Karnataka,Davangere,"Davangere APMC",Pomegranate,Pomogranate,Local,06/01/2026,6000,7000,6500
Karnataka,Dharwad,"Hubli (Amaragol) APMC","Bengal Gram(Gram)(Whole)",Jawari/Local,Local,06/01/2026,2570,5139,4630
Karnataka,Dharwad,"Hubli (Amaragol) APMC","Green Gram(Moong)(Whole)","Green (Whole)",Local,06/01/2026,809,10201,4940
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Onion,Local,Local,06/01/2026,300,2400,1200
Karnataka,Dharwad,"Hubli (Amaragol) APMC","Dry Chillies",Kaddi,Local,06/01/2026,7000,43550,36789
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Jaggery,Other,Local,06/01/2026,4100,5350,4300
Karnataka,Raichur,"Raichur APMC",Onion,Onion,Medium,06/01/2026,820,2075,1570
Karnataka,Raichur,"Sindhanur APMC",Rice,"Broken Rice",Local,06/01/2026,2000,2000,2000
Karnataka,Bangalore,"Doddaballa Pur APMC",Tomato,Tomato,Medium,06/01/2026,2500,3500,3000
Karnataka,Bangalore,"Doddaballa Pur APMC","Banana - Green","Banana - Green",Medium,06/01/2026,2500,3500,3000
Karnataka,Bangalore,"Doddaballa Pur APMC","Knool Khol","Knool Khol",Medium,06/01/2026,2000,2600,2300
Karnataka,Mysore,"Hunsur APMC",Ginger(Dry),Dry,Local,06/01/2026,15000,15000,15000
Karnataka,Mysore,"Hunsur APMC","Tender Coconut","Tender Coconut",Local,06/01/2026,20000,22000,22000
